Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,EMA_9,EMA_21,EMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,ADX_14,DMP_14,DMN_14,returns,vol_ratio,target
103022.046875,103207.40625,102963.296875,103207.40625,0,49.387050614084764,-131.73561885741947,11.578961871086449,-143.31458072850592,103079.48252255296,103193.42875910856,103346.38055078493,102622.93710822286,103165.461328125,103707.98554802715,1.0517555253819078,0.5386571883210668,312.3392857142857,50.393678605341634,0.0,0.0,0.0019750452576614563,0.0,0
103181.234375,103430.265625,103118.046875,103404.640625,0,52.76813193538879,-97.87017438584007,36.355525074132686,-134.22569945997276,103144.51414304238,103212.62983782597,103348.66525957768,102622.18138923921,103166.437890625,103710.6943920108,1.0551037963776677,0.7188331547427341,319.37890625,48.70019037324473,0.0,0.0,0.0019110486559679174,0.0,0
103402.546875,103458.5625,103185.5859375,103270.0,1402716160,50.297985195360454,-80.96265180115006,42.61043812705816,-123.57308992820822,103169.61131443392,103217.84530711452,103345.58034743738,102668.3273069537,103188.947265625,103709.5672242963,1.0090614789026675,0.5778425154712259,326.03348214285717,48.21207998977077,0.0,0.0,-0.0013020752665083846,4.739402737826443,0
103264.6640625,103264.6640625,102965.75,103103.296875,0,47.342975635418654,-80.09162098066008,34.78517515803851,-114.8767961386986,103156.34842654715,103207.43181328593,103336.07903479278,102660.0621262115,103180.3953125,103700.72849878849,1.0085892474293678,0.42591435686628454,318.65457589285717,47.09623807804235,0.0,0.0,-0.0016142454246150795,0.0,0
103081.171875,103230.3671875,102996.4609375,103186.953125,52867072,48.96340219334476,-71.82303135227994,34.44301182913493,-106.26604318141487,103162.46936623772,103205.57011435085,103330.23095989895,102670.71774763131,103162.68359375,103654.64943986869,0.9537670579723015,0.5246658700410524,289.91796875,44.61239681408544,0.0,0.0,0.0008113828804274803,0.17704249733208605,0
103142.6015625,103433.109375,103142.6015625,103399.9609375,0,52.93489595594947,-47.534219320339616,46.98545908886021,-94.51967840919983,103209.96768049018,103223.2420073644,103332.96546882448,102699.80590035876,103150.063671875,103600.32144339125,0.8730150142195513,0.7775046666973291,297.3052455357143,41.06735863738745,0.0,0.0,0.0020642901650751444,0.0,0
103398.625,103398.625,103194.671875,103274.5,0,50.444962984387864,-37.97110269338009,45.23886057265578,-83.20996326603587,103222.87414439215,103227.90182487672,103330.67270534117,102702.41462502308,103145.728125,103589.0416249769,0.8595867381723619,0.6452379354640824,289.03683035714283,37.36358609949703,0.0,0.0,-0.0012133557533531292,0.0,0
103277.0078125,103367.9453125,103277.0078125,103355.40625,0,52.01254942132477,-23.591853453501244,47.69448785002771,-71.28634130352896,103249.38056551373,103239.49313625158,103331.64264826897,102713.92217593692,103139.022265625,103564.12235531307,0.8243244513085773,0.7545094550953635,287.3627232142857,33.79954111991903,0.0,0.0,0.0007834097478081059,0.0,0
103358.9921875,103396.53125,103179.9921875,103300.5390625,0,50.83806300726443,-16.434076516816276,43.88181182937015,-60.315888346186426,103259.61226491099,103245.04276591052,103330.42289980744,102724.63766005894,103131.5328125,103538.42796494105,0.7890800055901697,0.7076778857969935,274.3364955357143,30.40643380505579,0.0,0.0,-0.0005308593859839617,0.0,0
103309.5390625,103443.25,103306.6328125,103368.5390625,0,52.276378459589786,-5.214347275614273,44.081232856457724,-49.295580132072,103281.39762442879,103256.2697019641,103331.91765128558,102730.23400463449,103128.453125,103526.67224536551,0.7722778889795537,0.8014495352202511,251.01171875,27.661127699847494,0.0,0.0,0.0006582734283588909,0.0,0
103370.6875,103663.1171875,103367.296875,103651.65625,0,57.810757435226385,26.22030850907322,60.412710912916175,-34.192402403842955,103355.44934954304,103292.21393360372,103344.45641986262,102712.0166913263,103163.70234375,103615.38799617371,0.8756677826832043,1.0401476708765005,258.4330357142857,26.913602229450582,0.0,0.0,0.002738910601501443,0.0,0
